sys,real,user
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.05,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.05,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.01
sys,real,user
0,0.05,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.05,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.05,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.05,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.05,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.05,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.01
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.00
0,0.04,0.01
0,0.04,0.00
0,0.04,0.00
