sys,real,user
0,23.56,0.00
0,23.43,0.00
0,24.78,0.00
0,24.57,0.00
0,23.42,0.00
0,23.38,0.00
0,23.44,0.00
0,23.44,0.00
0,23.43,0.00
0,23.47,0.00
0,23.44,0.00
0,23.45,0.00
0,23.44,0.00
0,23.45,0.00
0,23.37,0.00
0,23.44,0.00
0,24.00,0.00
0,23.39,0.00
0,23.46,0.00
0,23.46,0.00
0,23.61,0.00
0,23.41,0.00
0,23.45,0.00
0,23.45,0.00
0,23.47,0.00
0,23.47,0.00
0,23.42,0.00
0,23.39,0.00
0,23.53,0.00
0,23.42,0.00
0,23.44,0.00
0,23.45,0.00
0,23.45,0.00
0,23.45,0.00
0,23.42,0.00
0,23.39,0.00
0,23.43,0.00
0,23.52,0.00
0,23.41,0.00
0,23.41,0.00
0,23.39,0.00
0,23.44,0.00
0,23.46,0.00
0,23.41,0.00
0,23.46,0.00
0,23.41,0.00
0,23.51,0.00
0,23.40,0.00
0,23.38,0.00
0,23.38,0.00
