in_id;in_cu_id;in_date;in_description;in_total;in_discount;in_totalafterdiscount
1;818;13/04/2008 :;Sed delerium. pladior eggredior. apparens Pro     ;371494;7SR3-REYB-9YJ0-UU98                               ;354528
2;559;5/12/2004 :;pladior sed et eggredior. sed quis Quad delerium. ;456165;IY8W-1QMH-8UGI-MHXN                               ;224625
3;1002;29/03/2008 :;eudis gravis apparens glavans eggredior. quo      ;45689;3QLB-TMPK-0NQ9-8JU4                               ;220210
4;443;17/01/2003 :;habitatio quantare travissimantor nomen funem.    ;271527;0SH7-EI1A-DXLN-SCX5                               ;436474
5;274;7/10/2008 :;plorum gravis quantare imaginator venit.          ;327386;E11K-K46R-2NS0-A9DR                               ;250984
6;468;12/06/2002 :;esset si homo, et rarendum imaginator habitatio   ;398592;AKF0-222R-VMOY-ZQX3                               ;245241
7;470;19/10/2005 :;gravis vobis nomen vobis et Quad et travissimantor;159185;ABAS-P4K3-JY6T-UL0Z                               ;96517
8;31;21/01/2010 :;apparens eggredior. quo non transit. non delerium.;449287;I1FT-GYUS-KBAR-ZAMK                               ;405874
9;996;16/05/2007 :;gravis eggredior. non vantis. delerium. in non    ;422110;XHZJ-WGV3-DPX2-9VG7                               ;41243
10;315;3/12/2003 :;si non in quo cognitio, quo, et et ut vobis sed   ;475479;RASJ-7OES-JZG5-12WE                               ;309807
11;849;22/04/2007 :;quartu nomen egreddior fecit, vobis funem. sed    ;31474;Z3RE-UE79-3TFJ-NOGW                               ;241385
12;33;22/05/2010 :;delerium. in vobis Quad pars essit. cognitio,     ;246678;8127-E9SZ-7Z2I-OJDC                               ;24653
13;527;2/03/2010 :;manifestum quad esset eggredior. non in habitatio ;141116;TH50-QJW1-CM06-X0KK                               ;295710
14;688;8/12/2010 :;plurissimum pars rarendum essit. pars manifestum  ;16662;KL7T-4QXI-4B32-QW2E                               ;33225
15;82;27/04/2010 :;et volcans non in et fecundio, dolorum non vobis  ;162210;UCQK-KZV1-OZTK-7ABF                               ;325964
16;454;7/09/2004 :;esset fecit. novum parte gravis trepicandor estum.;273623;ZMDM-1IXS-0X5G-7VMQ                               ;358330
17;989;22/05/2007 :;travissimantor Et Versus pladior delerium.        ;219591;4UVF-5HIU-FLMQ-7Z39                               ;125955
18;763;12/12/2010 :;et venit. gravis apparens nomen plurissimum       ;116983;NULL;213284
19;382;18/07/2003 :;plorum volcans quoque delerium. vobis eudis nomen ;112807;223B-QUDM-COKF-4RYW                               ;125889
20;958;6/10/2002 :;fecit. vantis. rarendum pladior et et Sed rarendum;429506;JZ2L-FBEB-8RDO-2RKB                               ;285039
21;716;25/10/2003 :;estis egreddior fecit, quorum imaginator in non   ;233626;B4WT-R076-G073-2ZH0                               ;329847
22;1005;4/02/2009 :;eggredior. linguens linguens fecit, et egreddior  ;139477;EF1X-KAWH-D6MV-F39R                               ;346333
23;795;26/01/2006 :;vobis quad vantis. Tam regit, egreddior brevens,  ;395092;E47B-8KA5-39KN-V3Y2                               ;57687
24;458;23/09/2003 :;et transit. delerium. plorum estis Id novum       ;445185;G3PP-9DB8-YPQH-A7PN                               ;265078
25;222;4/07/2007 :;Sed plorum linguens fecit. Sed esset eudis parte  ;403833;00QM-3MY9-B47H-AEHP                               ;1654
26;719;19/06/2002 :;quis estis et nomen gravis et Multum quorum gravis;NULL;U822-DJ3E-OEBI-GC3C                               ;280885
27;488;26/01/2006 :;homo, quis et ut travissimantor regit, Id quartu  ;168911;ME28-UI8E-WP0N-RYNP                               ;401065
28;879;15/12/2009 :;quo, gravum brevens, funem. Id Id quantare et     ;85862;JJKY-XTO8-XB55-F6TB                               ;163066
29;736;19/01/2009 :;dolorum Pro e si et non cognitio, Versus quo      ;61576;UAOF-YENT-HODC-2U3X                               ;399740
30;680;13/08/2002 :;pars quoque brevens, Tam manifestum manifestum non;167941;0U0S-LKU9-L4CM-8V4J                               ;130369
31;219;5/01/2002 :;quo, Versus quad et vantis. essit. quoque venit.  ;339495;J5VQ-8XS5-K2WI-0AVE                               ;215193
32;897;8/12/2005 :;estum. delerium. gravum si in si Tam gravum bono  ;369925;EJDJ-CCQ7-7PKK-VZ9O                               ;220923
33;839;11/11/2007 :;transit. vantis. gravis fecundio, imaginator ut ut;482064;NSOZ-J8TL-YZPP-0RBV                               ;116909
34;645;13/06/2005 :;et et quad estum. parte quoque vobis dolorum homo,;227775;W6KF-UHB8-017M-LUEV                               ;217622
35;220;17/02/2006 :;fecundio, quis nomen quartu Pro eudis quad gravum ;216732;4J53-70UM-3OEX-H79V                               ;385016
36;482;15/06/2007 :;pladior quo, delerium. et trepicandor apparens    ;78616;1XKE-XS2J-5CGJ-C0HM                               ;350663
37;720;27/04/2003 :;plurissimum pars non plorum si ut delerium.       ;346287;UNPZ-CMAR-DKJ1-6YQZ                               ;206941
38;101;30/01/2006 :;pars dolorum non si Tam pladior e regit, Pro      ;401586;EXA9-Q8UA-GQMZ-E7LB                               ;NULL
39;1026;8/09/2005 :;vantis. pladior Sed in esset quo Id bono novum    ;408290;AIBV-KTF9-E9HR-XCGV                               ;80809
40;906;2/08/2010 :;quad estum. et et Versus nomen bono gravis non    ;376030;4S08-NYJ1-ZDF7-VLFA                               ;42553
41;477;15/07/2004 :;manifestum eggredior. si fecit, dolorum novum quad;44686;XSLT-78VH-1RP0-II3N                               ;101240
42;326;17/04/2004 :;et eudis essit. si travissimantor quoque egreddior;408605;M9DD-0UA7-CW6C-B663                               ;158670
43;469;6/03/2002 :;linguens Tam si plorum Quad nomen Et esset nomen  ;405244;E220-7OEK-CISY-NF7C                               ;164761
44;810;3/05/2004 :;imaginator eggredior. quad linguens in eggredior. ;81991;CYOU-4LCL-BCZM-J7CJ                               ;138724
45;765;1/09/2008 :;transit. plorum quo, imaginator Sed pladior quo   ;242990;CFP4-T47G-VZTZ-FE8A                               ;320539
46;295;17/12/2002 :;fecit. quad delerium. Id pars novum imaginator    ;397662;MBT9-ZI50-G2N3-W8JK                               ;382409
47;664;12/02/2009 :;nomen rarendum non et egreddior quad Longam,      ;433958;0DWT-CJ0Y-5Z2U-0MGE                               ;283138
48;287;25/02/2007 :;rarendum e venit. estis linguens vobis Et quo     ;235669;BY73-SBP7-6VNF-9FZT                               ;68301
49;223;9/10/2005 :;fecit. plorum plorum gravis trepicandor sed quo   ;301813;GI7I-G0TG-AS5A-15SI                               ;285731
50;69;8/07/2003 :;parte et manifestum quorum Versus ut quis Id      ;307158;0TS6-ABN4-LMNZ-TRPW                               ;364367
51;694;15/03/2007 :;et venit. travissimantor habitatio plorum estum.  ;216432;SH9F-EPCU-3MH6-MP07                               ;313742
52;928;22/11/2007 :;plorum rarendum quo nomen egreddior gravum et si  ;405067;5DO2-O55H-AGWN-IKDQ                               ;19121
53;929;3/04/2006 :;non transit. travissimantor fecit, quorum Longam, ;278029;KYSG-Y4HL-3QIZ-FS68                               ;205857
54;901;26/02/2003 :;si Quad Pro gravum gravis venit. in estis et estis;463140;9JV3-MPUB-2BA9-6K8R                               ;170907
55;94;29/12/2007 :;quorum cognitio, eggredior. et vantis. et e       ;267796;KOKA-JYXY-PE4X-03P2                               ;424371
56;107;10/03/2010 :;quo, non linguens habitatio linguens Versus quis  ;33091;9A5P-RG8M-UKE0-LZKF                               ;209989
57;954;10/11/2009 :;bono ut essit. parte linguens quorum quis quoque  ;232016;NRVW-N6CL-3V53-9IU6                               ;8194
58;149;8/07/2006 :;non si Pro si Versus egreddior non esset e Longam,;61072;3QBF-4Z4P-1I97-HE8J                               ;166937
59;570;17/07/2006 :;vobis volcans gravum volcans parte esset essit.   ;100504;K3MA-ZEA1-24EK-XGGC                               ;405133
