ind_id;ind_in_id;ind_it_id;ind_qty;ind_total
1;41;41;1841;35325,48579
2;1438;1438;795;18649,65333
3;704;704;1561;42754,06992
4;9929;9929;8952;5430,783613
5;9514;9514;5247;48808,43363
6;1204;1204;7947;33426,90751
7;1702;1702;6804;6421,442403
8;2372;2372;1217;31170,0466
9;73;73;4064;26506,01134
10;9272;9272;1833;27604,04026
11;9773;9773;7383;23750,51164
12;2415;2415;1642;47247,40365
13;9450;9450;5447;11605,80526
14;237;237;2544;38736,00601
15;7318;7318;3956;4780,510839
16;9446;9446;4321;2832,199471
17;122;122;4665;44343,49567
18;2311;2311;4933;5663,855004
19;9413;9413;9187;47284,47776
20;1524;1524;9697;17840,5033
21;2041;2041;3938;26334,17399
22;1041;1041;2584;25186,67252
23;133;133;6823;42565,70148
24;1768;1768;NULL;31027,5003
25;9557;9557;2712;8275,831634
26;1572;1572;675;47861,21652
27;605;605;3140;28552,36366
28;9932;9932;7113;30085,2155
29;1984;1984;9821;8899,556593
30;189;189;9018;18360,54838
31;344;344;5619;38892,89235
32;307;307;4087;34635,60053
33;119;119;4293;11524,632
34;331;331;8284;5289,084234
35;9252;9252;807;35807,17881
36;9474;9474;3670;3535,136652
37;2761;2761;273;1643,003315
38;9401;9401;2045;33568,42624
39;1397;1397;9899;5700,689627
40;362;362;9428;25986,24626
41;2393;2393;9520;46892,89075
42;9276;9276;1701;15104,84901
43;384;384;242;2110,136255
44;1558;1558;4701;18295,88668
45;1895;1895;2527;34248,25195
46;9320;9320;1577;32160,47552
47;9701;9701;7626;42899,24879
48;9283;9283;5178;32275,06689
49;1172;1172;6298;32633,73258
50;5593;5593;5550;38715,00703
51;9746;9746;6421;38890,25477
52;9926;9926;6616;3666,191154
53;375;375;6226;6299,412673
54;1913;1913;3992;7597,470101
55;8965;8965;9483;5067,845762
56;395;395;9012;10138,81327
57;9817;9817;9257;26083,95185
58;8;8;3973;11726,56962
59;2030;2030;8849;47154,95198
60;9598;9598;8277;947,2171082
61;NULL;NULL;2106;4874,543848
62;411;411;833;26336,2269
63;198;198;6983;22270,49001
64;213;213;2199;8145,462958
65;372;372;8446;38711,14791
66;9824;9824;7747;39114,9111
67;819;819;3090;35722,77165
68;1053;1053;3358;6316,721023
69;1096;1096;4640;2928,827192
70;9882;9882;8875;1245,374187
71;983;983;3683;1189,196157
72;9425;9425;2276;10775,06943
73;195;195;4766;49963,16538
74;1751;1751;5505;21298,2315
75;2711;2711;9667;20947,61255
76;9498;9498;7995;11229,32497
77;9765;9765;3695;23076,53626
78;5195;5195;7884;24269,8148
79;733;733;4295;46779,24835
80;9573;9573;1134;26115,35612
81;9971;9971;3049;4961,967727
82;9881;9881;7963;46277,29677
83;488;488;814;47451,48292
84;9757;9757;4271;20184,54956
85;914;914;2596;29470,29361
86;9772;9772;NULL;35226,70119
87;2136;2136;9003;28336,18786
88;241;241;7861;3927,161896
89;15;15;300;221,2384717
90;1607;1607;8802;25668,36554
91;1494;1494;1796;27451,1848
92;9637;9637;4413;39916,43369
93;170;170;6301;36413,47426
94;1325;1325;3196;4753,472519
95;258;258;1622;21111,70242
96;814;814;7321;20556,66385
97;9784;9784;8686;42834,35901
98;3723;3723;4719;43964,6733
99;9354;9354;8044;29584,73877
100;409;409;6255;45133,34085
101;1069;1069;4781;46437,70386
102;9852;9852;8488;36582,52777
103;328;328;4267;29346,2397
104;9660;9660;538;31388,35839
105;9689;9689;7424;37525,81088
106;2511;2511;1867;28115,18534
107;9912;9912;4145;3703,025777
108;645;645;1850;35001,18118
109;9724;9724;721;36649,85755
110;846;846;4325;43838,52079
111;9936;9936;1487;37062,27701
112;981;981;5316;1814,137051
113;1519;1519;1373;14947,32127
114;9210;9210;9678;21039,59586
115;71;71;7714;45985,24938
116;614;614;5227;8597,247074
117;294;294;4144;28884,74398
118;1079;1079;19;2085,940448
119;491;491;2711;28675,16935
120;1400;1400;9603;3484,44672
121;9599;9599;9444;10778,72324
122;1464;1464;9886;31795,60976
123;NULL;NULL;2789;6095,482552
124;9764;9764;4557;27260,46165
125;215;215;2843;23794,18939
126;751;751;4462;11272,76246
127;9472;9472;7382;24361,59517
128;9525;9525;9080;45209,69286
129;332;332;3144;186,5290805
130;1036;1036;8184;390,9487046
131;955;955;981;18394,96597
132;1952;1952;3275;29111,86296
133;343;343;5652;44685,07603
134;525;525;1628;1645,907504
135;349;349;9515;NULL
136;1537;1537;2647;29677,65226
137;418;418;8783;18379,43996
138;9754;9754;7425;16931,05708
139;597;597;3391;16063,12453
140;NULL;NULL;2404;32658,73868
141;14;14;8452;1355,10827
142;972;972;7153;31523,67542
143;1115;1115;7140;43335,00669
144;1499;1499;5976;17277,30435
145;9390;9390;7314;6382,717684
146;9676;9676;6480;38606,08853
147;262;262;NULL;25637,04775
148;87;87;3039;24969,11242
149;9869;9869;6624;15373,8784
150;795;795;5482;NULL
151;564;564;6395;8768,223137
152;9399;9399;3177;12514,45534
153;2726;2726;8667;41671,91987
154;732;732;2007;40748,41856
155;1374;1374;8441;15289,50395
156;2156;2156;6812;26100,29205
157;606;606;4895;34354,6176
158;229;229;5699;14642,09411
159;524;524;9710;30487,04522
160;163;163;7695;2085,778048
161;2799;2799;2961;7594,169005
162;2310;2310;4485;26253,04841
163;1046;1046;5065;3753,590166
164;971;971;8706;8493,332918
165;2129;2129;2537;34814,65209
166;942;942;3344;36258,90884
167;1028;1028;8213;25443,55482
168;34;34;9664;7950,414046
169;108;108;9746;7129,061016
170;9418;9418;162;13301,41377
171;923;923;5067;41361,94361
172;1038;1038;6445;27605,80942
173;9655;9655;6719;41666,19
174;9973;9973;6628;12821,61945
175;1267;1267;307;19427,20177
176;9458;9458;1151;27320,06108
177;1118;1118;2291;21960,7713
178;1065;1065;2746;17443,71656
179;5987;5987;NULL;14518,30541
180;476;476;6814;49712,76487
181;226;226;7244;38654,37312
182;1626;1626;6364;48157,14164
183;9688;9688;1423;36303,65005
184;3174;3174;757;8987,716776
185;9987;9987;3598;36441,46972
186;448;448;6750;37672,07374
187;9897;9897;5006;NULL
188;682;682;2315;8719,028839
189;9560;9560;1268;27646,54741
190;9982;9982;7212;13822,35902
191;944;944;4817;18584,78399
192;9289;9289;4619;17291,2899
193;321;321;6949;15035,55815
194;207;207;9073;37892,39474
195;1034;1034;9731;14845,27903
196;354;354;430;8468,955526
197;256;256;7919;6405,690269
198;289;289;3386;47601,5181
199;9568;9568;8447;23030,3425
200;790;790;4602;8520,354591
201;9758;9758;2631;31018,3955
202;909;909;9102;30939,16286
203;1215;1215;6816;30655,67449
204;1113;1113;3294;18507,98673
205;3207;3207;6461;11667,69865
206;121;121;415;24011,93479
207;9933;9933;9951;31162,41371
208;327;327;6459;20848,26535
209;9551;9551;2038;28850,30041
210;3541;3541;1699;21321,21679
211;382;382;7289;37969,44287
212;1624;1624;4521;4139,520742
213;9565;9565;2148;16910,90104
214;6340;6340;8885;123,7886958
215;934;934;2466;30774,28035
216;9736;9736;1330;13431,40493
217;9855;9855;1538;9437,027368
218;116;116;3727;39949,39837
219;2409;2409;1467;44765,87339
220;585;585;1956;22051,8632
221;9669;9669;7531;47142,57836
222;9836;9836;1029;27539,88
223;9804;9804;6944;47797,00742
224;2360;2360;2452;44128,05503
225;9454;9454;4928;38544,27703
226;4489;4489;5543;46010,12387
227;2198;2198;8119;26326,38546
228;82;82;7373;39713,41468
229;9511;9511;6989;26820,91097
230;186;186;6198;4352,663925
231;3781;3781;2389;13021,5115
232;935;935;7766;29718,54297
233;341;341;3844;48930,42881
234;553;553;8144;8923,361967
235;9825;9825;4182;33499,90991
236;9908;9908;8142;18773,602
237;202;202;9548;7998,698628
238;27;27;8129;29649,1549
239;710;710;4296;24635,9514
240;1860;1860;3183;34975,78198
241;6240;6240;6800;5279,056009
242;1563;1563;8548;16823,80839
243;778;778;276;29868,72843
244;3466;3466;9569;6325,330611
245;46;46;9923;25852,91615
246;1320;1320;295;14445,26325
247;655;655;2470;380,388857
248;9760;9760;8064;14911,76945
249;1477;1477;6606;7118,11439
250;725;725;8400;1413,874096
251;9566;9566;8892;49031,92816
252;271;271;4191;16456,2919
253;9402;9402;1918;2835,644713
254;128;128;6491;978,479302
255;727;727;7072;11377,77623
256;2621;2621;1602;3478,515499
257;964;964;2157;33142,15545
258;9625;9625;4364;36527,61946
259;3001;3001;8366;29963,70971
260;617;617;918;15657,57478
261;308;308;2297;47685,54934
262;9626;9626;2577;41448,99903
263;144;144;9470;44027,35438
264;648;648;5841;24497,63649
265;2125;2125;9311;8299,705297
266;253;253;9524;8250,899896
267;9264;9264;677;NULL
268;651;651;4005;5209,091937
269;518;518;4703;7987,539078
270;716;716;4324;16623,87879
271;9793;9793;1783;12000,67835
272;345;345;3409;5432,706305
273;9665;9665;9431;29787,87247
274;9364;9364;8285;15313,44697
275;9532;9532;5157;9790,091407
276;660;660;8983;16772,80719
277;1152;1152;752;30318,76997
278;731;731;7376;47671,15158
279;696;696;2529;41471,6768
280;150;150;4633;18275,13888
281;893;893;3072;24099,01378
282;413;413;54;45629,73501
283;169;169;766;11414,616
284;47;47;8589;32595,30029
285;16;16;7306;25407,03687
286;1811;1811;8198;5320,735767
287;804;804;5847;46565,2196
288;665;665;7353;26882,89826
289;602;602;1072;47951,9495
290;1002;1002;2580;47545,58573
291;333;333;5985;30021,39441
292;178;178;5184;35631,44656
293;9838;9838;9763;21471,07917
294;3562;3562;3378;49685,44519
295;1515;1515;885;8978,376612
296;1754;1754;4222;37290,23265
297;137;137;9078;13830,05698
298;389;389;4436;22796,45401
299;9738;9738;257;5371,091936
300;1428;1428;399;48025,62531
301;9888;9888;9619;17602,01625
302;317;317;8466;9236,17131
303;12;12;3361;42392,84978
304;56;56;2282;48287,89066
305;9927;9927;6617;45117,43604
306;9786;9786;5482;45981,16779
307;63;63;4760;19244,05569
308;9827;9827;3634;1142,844931
309;337;337;1334;43045,55331
310;9972;9972;8089;34205,67211
311;4442;4442;849;31059,00627
312;831;831;4782;5807,36392
313;9614;9614;1834;41670,47864
314;423;423;3733;18252,48057
315;1584;1584;7846;5864,695928
316;9909;9909;2242;20027,83977
317;206;206;1811;36270,93334
318;1365;1365;880;8853,698736
319;2251;2251;8535;18620,31751
320;9453;9453;1113;19176,90072
321;3214;3214;3676;11734,4857
322;9113;9113;3324;31368,00163
323;298;298;2932;7257,142434
324;600;600;2123;10441,95334
325;9851;9851;8340;36602,48438
326;11;11;6600;26369,23179
327;350;350;3646;33961,62714
328;5;5;6053;30102,42727
329;9795;9795;7399;6335,07036
330;5015;5015;935;22499,85876
331;402;402;9906;2942,750209
332;356;356;6317;7522,315955
333;9510;9510;7118;42300,05964
334;1777;1777;2130;43446,05149
335;1803;1803;5014;673,1226345
336;1390;1390;4606;14862,84247
337;275;275;6694;3236,885231
338;249;249;8485;13126,72534
339;5058;5058;1972;37477,86425
340;8669;8669;1824;29425,86908
341;216;216;3437;36076,68008
342;9640;9640;2213;45422,37466
343;9634;9634;6019;33837,34496
344;6511;6511;2984;13746,27739
345;171;171;1730;16486,57947
346;3227;3227;1202;24214,03049
347;9921;9921;3349;43960,96791
348;9301;9301;6030;3218,598595
349;192;192;5533;43820,74927
350;279;279;8644;38950,53684
351;1693;1693;2410;1019,29931
352;9550;9550;NULL;4976,358244
353;9895;9895;8197;4176,136504
354;9670;9670;5902;36194,19121
355;9432;9432;9145;36291,13961
356;859;859;6724;36234,01461
357;1688;1688;6295;1979,028877
358;763;763;5534;31950,89643
359;672;672;1238;11685,40628
360;734;734;3942;18748,20426
361;9711;9711;17;12019,54065
362;48;48;1836;39141,62842
363;9989;9989;8708;44807,77457
364;1470;1470;6235;20545,69454
365;809;809;399;31262,92191
366;9802;9802;8184;23536,69031
367;938;938;4532;13507,30428
368;586;586;7665;48224,42715
369;891;891;9705;17579,35794
370;9624;9624;8719;41001,85346
371;9659;9659;3239;16790,95454
372;231;231;5549;23144,208
373;2484;2484;3327;21375,83449
374;599;599;8909;39194,44843
375;3324;3324;6710;33100,22065
376;533;533;7677;16312,11104
377;1910;1910;1463;47530,65668
378;89;89;7305;43510,86504
379;1281;1281;9949;43955,37388
380;473;473;392;12388,45389
381;9540;9540;7138;32408,26388
382;9690;9690;3250;30743,02854
383;339;339;7617;36281,678
384;1342;1342;519;17384,53352
385;646;646;8756;21480,55945
386;537;537;8525;47966,39196
387;391;391;1708;3346,179451
388;9863;9863;415;6105,868428
389;322;322;7974;7154,911876
390;83;83;5406;14439,10802
391;126;126;8720;12883,81359
392;7763;7763;9073;21285,9888
393;587;587;5456;1441,319055
394;102;102;4542;18729,65999
395;123;123;1955;17406,32843
396;573;573;9989;46935,05165
