it_id;it_ca_id;it_lo_id;it_serialnumber;it_code;it_barcode;it_expirydate;it_description;it_manufacturer;it_price;it_qtity
1;818;818;59486;UMOAJXC75VE6IVKCZNUL                              ;138743835;10/11/2012 23:11;quad sed sed novum quad                           ;0EJ31QCPMUIXL                                     ;564,3160327;8046
2;559;559;80716;WCIKY201TF0S9G9IHY2S                              ;180517662;16/08/2009 16:57;non et novum quad ut                              ;20HRE4PLQW5EK49                                   ;601,5011336;5942
3;1002;1002;91993;8KF8OO4QLBR4XX95PKUB                              ;907628628;9/03/2005 7:21;si et quis non manifestum                         ;HMVOMK9574W7POXLR2N7E                             ;227,4471997;8127
4;443;443;44470;CGEE8FATIPSSTNR3BAEW                              ;648640265;10/02/2006 20:48;nomen quorum Tam                                  ;KX1FNMYM68FCCW1X1HRBJ9                            ;1482,782489;9549
5;274;274;91472;838NCIZDRD7GRW30UG9T                              ;43125772;17/03/2007 8:37;plurissimum Quad linguens glavans                 ;IW2ZJNHH2W81XM7WN7LYOR                            ;1109,989782;64
6;468;468;16794;2LYC49H1EAGFU4D5RWWB                              ;9320625;1/03/2008 8:30;vantis. non novum egreddior                       ;B1JT15G2OBQJJLMEYPQD                              ;1818,762453;7833
7;470;470;83325;RCLB1RO2HU43D5H9A79I                              ;654397040;6/03/2014 18:08;in gravis Versus et                               ;4V4AUK43YBJQIQXZUFB                               ;357,5413331;6268
8;31;31;10596;D3Q1WSQV2JDIIB9D03HT                              ;591464753;13/11/2008 0:26;pars vobis quartu Quad                            ;TKP72OB0SM9XEX75                                  ;1713,302857;3583
9;996;996;96155;WGCBHYVWGPMT3E8VA5YX                              ;190916444;5/02/2010 5:37;non funem. et manifestum et                       ;I7KBZQZ6T0VPF49FQM                                ;1669,209906;9584
10;315;315;67909;EAQLVU7VA4ROCGNDPFUU                              ;491915001;18/10/2014 1:54;funem. si gravis                                  ;5W8694BB1MBLJSJB8                                 ;1993,920558;3657
