pod_id;pod_po_id;pod_it_id;pod_qtity;pod_remainingqtity
1;41;41;4827;1219
2;1438;1438;4218;342
3;704;704;3692;1093
4;9929;9929;1442;1255
5;9514;9514;2265;2262
6;1204;1204;113;2242
7;1702;1702;2704;2472
8;2372;2372;2353;2431
9;73;73;2609;1614
10;9272;9272;3951;397
11;9773;9773;1053;2369
12;2415;2415;4369;1636
13;9450;9450;1220;2329
14;237;237;3514;557
15;7318;7318;113;1807
16;9446;9446;2443;282
17;122;122;763;1433
18;2311;2311;3846;973
19;9413;9413;1195;665
20;1524;1524;4782;859
21;2041;2041;3752;2209
22;1041;1041;3035;2131
23;133;133;245;545
24;1768;1768;3262;4
25;9557;9557;1073;781
26;1572;1572;152;1684
27;605;605;536;2418
28;9932;9932;4267;1182
29;1984;1984;4773;576
30;189;189;3456;1241
31;344;344;3184;14
32;307;307;4004;160
33;119;119;2390;2201
34;331;331;573;349
35;9252;9252;3602;174
36;9474;9474;1480;849
37;2761;2761;2913;1027
38;9401;9401;593;2001
39;1397;1397;572;714
40;362;362;2670;254
41;2393;2393;4471;1655
42;9276;9276;4870;629
43;384;384;3697;779
44;1558;1558;2662;1614
45;1895;1895;2478;57
46;9320;9320;2072;737
47;9701;9701;4189;444
48;9283;9283;4406;2242
49;1172;1172;3926;2207
50;5593;5593;3454;2058
51;9746;9746;2338;1460
52;9926;9926;3631;442
53;375;375;2988;810
54;1913;1913;3232;2126
55;8965;8965;560;781
56;395;395;1791;1588
57;9817;9817;3973;2298
58;8;8;430;1089
59;2030;2030;369;473
60;9598;9598;2113;577
61;NULL;NULL;4578;2325
62;411;411;3437;1289
63;198;198;2581;1855
64;213;213;4154;372
65;372;372;766;382
66;9824;9824;2049;2208
67;819;819;1979;1936
68;1053;1053;646;1980
69;1096;1096;4913;383
70;9882;9882;3633;958
71;983;983;4530;1755
72;9425;9425;170;1933
73;195;195;3273;258
74;1751;1751;3525;410
75;2711;2711;311;1705
76;9498;9498;3883;1579
77;9765;9765;4339;1352
78;5195;5195;2584;1431
79;733;733;783;2448
80;9573;9573;4002;44
81;9971;9971;964;1239
82;9881;9881;1130;175
83;488;488;341;1476
84;9757;9757;1318;1019
85;914;914;1117;2282
86;9772;9772;4553;2073
87;2136;2136;1016;1850
88;241;241;4159;75
89;15;15;12;2069
90;1607;1607;1811;1086
91;1494;1494;2508;1051
92;9637;9637;2483;2439
93;170;170;223;1527
94;1325;1325;3460;137
95;258;258;3093;430
96;814;814;1033;365
97;9784;9784;2288;1275
98;3723;3723;4544;406
99;9354;9354;1895;1232
100;409;409;428;349
101;1069;1069;92;1302
102;9852;9852;3542;965
103;328;328;4494;1858
104;9660;9660;292;1249
105;9689;9689;3925;302
106;2511;2511;2168;2028
107;9912;9912;357;183
108;645;645;4463;400
109;9724;9724;2920;420
110;846;846;1678;1702
111;9936;9936;2452;235
112;981;981;1389;866
113;1519;1519;4647;1142
114;9210;9210;1368;429
115;71;71;1149;1838
116;614;614;3447;2149
117;294;294;3095;2314
118;1079;1079;1263;835
119;491;491;3036;590
120;1400;1400;1214;810
121;9599;9599;1032;358
122;1464;1464;2821;1861
123;NULL;NULL;634;2412
124;9764;9764;3101;1798
125;215;215;1125;2407
126;751;751;2046;1817
127;9472;9472;4947;405
128;9525;9525;4814;121
129;332;332;432;2481
130;1036;1036;4278;1340
131;955;955;1594;303
132;1952;1952;4795;946
133;343;343;688;199
134;525;525;354;2098
135;349;349;3909;1243
136;1537;1537;2423;274
137;418;418;1637;817
138;9754;9754;48;226
139;597;597;2394;717
140;NULL;NULL;3950;254
141;14;14;4195;1889
142;972;972;1554;1450
143;1115;1115;1238;2155
144;1499;1499;3334;366
145;9390;9390;4360;850
146;9676;9676;1119;185
147;262;262;2837;1296
148;87;87;3855;1098
149;9869;9869;2310;799
150;795;795;4646;782
151;564;564;2938;551
152;9399;9399;1025;440
153;2726;2726;1508;2316
154;732;732;681;421
155;1374;1374;4397;2492
156;2156;2156;2272;1941
157;606;606;2907;1054
158;229;229;1393;60
159;524;524;4168;1342
160;163;163;1878;985
161;2799;2799;2221;1622
162;2310;2310;544;62
163;1046;1046;4030;419
164;971;971;3642;1581
165;2129;2129;84;1399
166;942;942;2658;1790
167;1028;1028;700;666
168;34;34;4292;1544
169;108;108;2460;1687
170;9418;9418;3727;1564
171;923;923;1810;1331
172;1038;1038;3046;2088
173;9655;9655;3869;117
174;9973;9973;4086;336
175;1267;1267;2019;1421
176;9458;9458;4478;1408
177;1118;1118;1582;2207
178;1065;1065;2301;2045
179;5987;5987;3742;948
180;476;476;5;2221
181;226;226;4210;520
182;1626;1626;1091;1808
183;9688;9688;2503;1822
184;3174;3174;787;1699
185;9987;9987;1339;789
186;448;448;568;2364
187;9897;9897;3287;1130
188;682;682;7;2279
189;9560;9560;958;2107
190;9982;9982;1636;1802
191;944;944;4516;1720
192;9289;9289;244;757
193;321;321;881;1384
194;207;207;515;2232
195;1034;1034;1728;1132
196;354;354;3651;1827
197;256;256;2525;1031
198;289;289;2596;573
199;9568;9568;3249;1468
200;790;790;1701;1560
201;9758;9758;419;2020
202;909;909;3545;2252
203;1215;1215;1395;1911
204;1113;1113;3584;1736
205;3207;3207;2836;1951
206;121;121;4893;963
207;9933;9933;2156;322
208;327;327;2422;1980
209;9551;9551;3662;1501
210;3541;3541;4919;1083
211;382;382;689;2235
212;1624;1624;606;1509
213;9565;9565;2651;1613
214;6340;6340;4163;1621
215;934;934;2669;465
216;9736;9736;1130;2315
217;9855;9855;3041;740
218;116;116;3242;1221
219;2409;2409;2302;792
220;585;585;4516;1535
221;9669;9669;4371;659
222;9836;9836;692;888
223;9804;9804;3333;1938
224;2360;2360;823;2385
225;9454;9454;4211;2344
226;4489;4489;1565;574
227;2198;2198;2165;703
228;82;82;3353;386
229;9511;9511;2358;1704
230;186;186;3369;2095
231;3781;3781;1953;377
232;935;935;3987;1633
233;341;341;4052;577
234;553;553;2040;1888
235;9825;9825;4586;201
236;9908;9908;664;768
237;202;202;4697;2397
238;27;27;3920;86
239;710;710;2952;2248
240;1860;1860;1447;2326
241;6240;6240;3412;2042
242;1563;1563;864;1651
243;778;778;1346;777
244;3466;3466;1040;1023
245;46;46;946;2068
246;1320;1320;3910;210
247;655;655;2593;1645
248;9760;9760;1719;2264
249;1477;1477;2847;1767
250;725;725;598;1318
251;9566;9566;610;1086
252;271;271;4283;2310
253;9402;9402;293;2282
254;128;128;3733;2433
255;727;727;2331;900
256;2621;2621;4727;1132
257;964;964;211;314
258;9625;9625;572;2026
259;3001;3001;4374;1892
260;617;617;1270;1376
261;308;308;2727;260
262;9626;9626;3804;2436
263;144;144;64;275
264;648;648;292;1906
265;2125;2125;2965;706
266;253;253;1703;602
267;9264;9264;1554;931
268;651;651;611;2225
269;518;518;4577;1420
270;716;716;2004;2197
271;9793;9793;1434;2418
272;345;345;4121;653
273;9665;9665;290;1473
274;9364;9364;854;967
275;9532;9532;1104;1993
276;660;660;3506;1509
277;1152;1152;4347;110
278;731;731;2293;914
279;696;696;4878;317
280;150;150;301;2133
281;893;893;3972;1430
282;413;413;446;940
283;169;169;506;1120
284;47;47;1760;385
285;16;16;2758;1009
286;1811;1811;2670;567
287;804;804;3693;1851
288;665;665;318;645
289;602;602;4710;987
290;1002;1002;4860;1569
291;333;333;453;454
292;178;178;4124;371
293;9838;9838;4546;695
294;3562;3562;1682;872
295;1515;1515;3721;2065
296;1754;1754;4609;2106
297;137;137;800;1376
298;389;389;1053;1372
299;9738;9738;3075;317
300;1428;1428;4243;1465
301;9888;9888;2355;1780
302;317;317;1982;1920
303;12;12;2143;843
304;56;56;NULL;2071
305;9927;9927;843;1401
306;9786;9786;4165;432
307;63;63;1489;837
308;9827;9827;3993;1314
309;337;337;4440;439
310;9972;9972;2629;1892
311;4442;4442;3825;1022
312;831;831;379;1900
313;9614;9614;2919;1708
314;423;423;695;2259
315;1584;1584;4073;2447
316;9909;9909;2298;1821
317;206;206;2281;1316
318;1365;1365;3297;2390
319;2251;2251;3305;897
320;9453;9453;2535;138
321;3214;3214;294;1251
322;9113;9113;3011;286
323;298;298;1236;1238
324;600;600;902;2351
325;9851;9851;4717;1743
326;11;11;1551;2046
327;350;350;2310;2459
328;5;5;4576;601
329;9795;9795;3609;1403
330;5015;5015;2134;2388
331;402;402;1495;133
332;356;356;2706;1238
333;9510;9510;3294;597
334;1777;1777;4218;1352
335;1803;1803;634;353
336;1390;1390;2946;2011
337;275;275;1990;96
338;249;249;3304;1549
339;5058;5058;4663;1485
340;8669;8669;2595;576
341;216;216;1269;2231
342;9640;9640;3678;NULL
343;9634;9634;4253;536
344;6511;6511;2689;205
345;171;171;884;1596
346;3227;3227;4480;547
347;9921;9921;2535;1054
348;9301;9301;3429;1163
349;192;192;473;936
350;279;279;4384;925
351;1693;1693;1439;243
352;9550;9550;1311;789
353;9895;9895;2496;1486
354;9670;9670;3519;474
355;9432;9432;2780;178
356;859;859;1231;214
357;1688;1688;1119;1493
358;763;763;1079;682
359;672;672;2426;993
360;734;734;4293;327
361;9711;9711;1855;1855
362;48;48;1914;474
363;9989;9989;383;235
364;1470;1470;2305;2412
365;809;809;1134;552
366;9802;9802;1118;1759
367;938;938;2086;2284
368;586;586;3701;1303
369;891;891;60;355
370;9624;9624;1126;1905
371;9659;9659;307;436
372;231;231;3978;1725
373;2484;2484;3634;2267
374;599;599;709;905
375;3324;3324;1265;321
376;533;533;1616;408
377;1910;1910;3758;714
378;89;89;3547;81
379;1281;1281;17;2142
380;473;473;237;1803
381;9540;9540;4016;688
382;9690;9690;3881;883
383;339;339;4102;1522
384;1342;1342;4225;2176
385;646;646;694;1159
386;537;537;183;1598
387;391;391;209;1147
388;9863;9863;4775;763
389;322;322;1437;419
390;83;83;4403;1138
391;126;126;1827;1361
392;7763;7763;910;1329
393;587;587;877;1603
394;102;102;370;1222
395;123;123;740;2130
396;573;573;4355;101
397;93;93;3294;1995
398;1376;1376;1948;625
399;9231;9231;1555;2154
400;359;359;4766;2337
401;2167;2167;2393;764
402;432;432;3834;2252
403;115;115;3368;807
404;1423;1423;4348;1532
405;217;217;4077;489
406;3699;3699;2462;1019
407;1186;1186;2678;1023
408;1963;1963;1787;581
409;812;812;2253;153
410;1081;1081;1163;2271
411;101;101;2474;2001
412;2243;2243;2573;1412
413;1049;1049;NULL;1040
414;9854;9854;1062;1690
415;1366;1366;2188;2140
416;436;436;276;972
417;461;461;2974;1452
418;2771;2771;2813;560
419;9595;9595;1159;1253
420;NULL;NULL;1611;1454
421;1137;1137;950;611
422;3529;3529;909;1520
423;9606;9606;2311;883
424;827;827;2263;1718
425;1108;1108;658;543
426;277;277;4300;1608
427;901;901;4397;121
428;355;355;3100;1045
429;2871;2871;3263;1275
430;1339;1339;4969;219
431;9691;9691;1910;913
432;2666;2666;3323;89
433;539;539;1810;427
434;2648;2648;1991;2305
435;51;51;251;1039
436;949;949;2844;937
437;194;194;181;76
438;31;31;512;2491
439;839;839;4754;1687
440;201;201;148;140
441;107;107;3233;575
442;151;151;2506;566
443;887;887;3423;610
444;9887;9887;2522;649
445;143;143;274;1637
446;822;822;1929;2450
447;931;931;4254;288
448;495;495;4849;2414
449;NULL;NULL;3690;1582
450;380;380;94;1158
451;9387;9387;2766;1149
452;28;28;1542;1435
453;147;147;2135;1872
454;361;361;337;699
455;1163;1163;604;1726
456;1551;1551;3857;1745
457;9622;9622;81;1368
458;9636;9636;1571;1589
459;3306;3306;2710;988
460;3871;3871;48;1382
461;105;105;4680;897
462;535;535;4362;2478
463;915;915;4415;1806
464;124;124;1818;2435
465;310;310;342;1357
466;1080;1080;NULL;1912
467;803;803;2841;984
468;7465;7465;663;1235
469;4141;4141;581;651
470;86;86;810;1202
471;877;877;4344;896
472;4832;4832;94;1462
473;1064;1064;2462;1374
474;228;228;3059;1112
475;3108;3108;1010;879
476;1279;1279;3379;45
477;9748;9748;3445;910
478;489;489;2486;234
479;832;832;4790;80
480;2557;2557;1989;594
481;825;825;3730;1319
482;1976;1976;45;208
483;3254;3254;4549;1963
484;69;69;4411;117
485;NULL;NULL;3169;1570
486;2179;2179;2203;1978
487;5768;5768;368;717
488;2146;2146;1187;2229
489;9875;9875;1473;579
490;1350;1350;1387;1795
491;1060;1060;1395;2069
492;3388;3388;2762;987
493;3205;3205;3611;1502
494;576;576;2803;304
495;1527;1527;4706;1743
496;2032;2032;469;598
497;1100;1100;3871;1260
498;939;939;3092;675
499;6173;6173;1605;1792
500;NULL;NULL;2179;2226
501;559;559;2433;1466
502;818;818;1265;1554
503;399;399;3673;1762
504;1475;1475;4039;380
505;9800;9800;4346;262
506;1185;1185;0;2188
507;9942;9942;304;61
508;526;526;3483;759
509;264;264;1124;2320
