st_id;st_us_id;st_description;st_date;st_status
1;818;gravis glavans vantis.;10/01/2010 23:03;2YMJNLF0CRKTP
2;559;sed Tam estum. et bono;18/11/2008 10:15;4G5PC0ACG1WRFW
3;1002;in Versus essit. plorum;23/05/2004 3:03;2IFH63VI0
4;443;Id estum. brevens,;11/10/2005 0:04;W82ESUYZ
5;274;non gravis;12/11/2002 0:08;II7Q2D4P
6;468;Longam, transit. et;20/11/2008 8:14;LMV6I5A94CI6
7;470;Id vantis.;13/06/2003 12:23;Y4QFR8XN6YSGEC
8;31;dolorum parte;13/04/2010 6:02;SC32DDWD3
9;996;cognitio, Pro;15/01/2010 9:55;QX4JPLGS8K
10;315;egreddior fecit.;5/12/2010 18:27;ZNMVSUFO3P3SEGS8
11;849;non estum.;25/04/2002 5:40;SW1RNP1BT3GCB
12;33;regit, nomen;28/12/2008 2:50;5SSTPH7LIH
13;527;cognitio, nomen quorum et;18/04/2003 7:50;00M4P3XC0Z
14;688;non rarendum;2/09/2003 23:34;IBBXKKZQYBR1X
15;82;Quad regit,;NULL;MM2R87DK
16;454;gravis eudis;1/02/2007 2:57;NPE630IZAOTAHHRW
17;989;quo dolorum;26/07/2006 0:08;MSID8ZP43GU
18;763;quad parte;7/06/2002 18:31;RSZX8O85EVQ
19;382;imaginator parte;1/10/2006 5:39;BGC4P45BUMKK1
20;958;egreddior e;10/02/2008 22:19;FPP1ZJOEJV
21;716;quo, vobis quo non;26/07/2010 6:40;C8TIQ8Q23
22;1005;linguens habitatio;27/10/2009 9:28;RNKFZBJR58EWK9JG
23;795;Multum esset non Tam et;6/07/2002 1:31;W6RXXGACVBS3D
24;458;Multum essit. et;18/07/2003 1:39;IYMN24M07
25;222;et glavans dolorum gravum;6/01/2003 3:50;NDNFGOKZAVUVC5U
26;719;egreddior Et habitatio;16/05/2010 0:25;A230RNRDVXYLGBQ
27;488;et Tam fecundio,;3/06/2004 19:09;YM9JTUW7
28;879;novum novum quis e;24/02/2010 16:11;STHZMMGSVU
29;736;glavans Pro quo;17/04/2009 7:26;W7D0M9JIPYJZ
30;680;novum rarendum fecit,;30/09/2007 13:48;YWPVADF5V9YT9D9
31;219;glavans rarendum;11/08/2002 4:39;HSKG6ZQ99XJBDI
32;897;volcans delerium.;31/05/2008 1:29;9UC1PWLHIE
33;839;nomen quad travissimantor;27/04/2004 18:16;0YE6CVA675YIY
34;645;quo et cognitio, quis;2/04/2002 16:26;6FLDT4SD
35;220;NULL;18/02/2006 2:59;PZXBJEWB12SY
36;482;quad glavans vobis;17/07/2009 11:41;U3KN06AMB
37;720;apparens sed;22/06/2002 4:13;D3JHZ4PALNHP6
38;101;quis plorum;19/05/2002 2:24;JRRBUWF6ZDKIS
39;1026;fecundio, pladior;14/06/2009 10:05;3L3VENK8ZXW7CR7
40;906;regit, et non;17/07/2009 23:34;B5W539EYREW736
41;477;nomen quo, plorum gravis;21/07/2005 2:54;GBJ70KLB
42;326;et vobis quantare quo,;21/03/2003 18:05;UBSTENJOZO2F
43;469;quad pars e Longam,;12/08/2010 4:44;M1U643ZQD4S
44;810;pars fecit,;18/06/2006 5:39;FVTK6RPUCASHLK3V
45;765;plorum quo, fecit,;18/08/2004 7:49;7F4GUOHDTFIBTH6
46;295;rarendum gravis Longam,;22/06/2004 4:21;SYSP3SXC
47;664;fecit, cognitio, plorum;6/09/2010 18:01;9C9CLK03I5P
48;287;manifestum bono non;1/07/2007 12:47;KL7C7DB7IJ
49;223;Versus esset;6/09/2010 11:37;LISLB54FI
50;69;et et delerium. Id ut;3/10/2009 0:42;WKC708UH7A
51;694;Id fecit, et;12/05/2005 17:03;HA7DLDWFL51QI
52;928;et pars volcans;17/08/2005 5:58;USZOYEP7XO
53;929;pladior gravum;4/11/2008 19:18;U475GPA8G38L7QR7
54;901;egreddior plorum;20/12/2010 19:55;WLUUTJ5FVT9VMACI
55;94;travissimantor et;28/11/2009 16:12;Q9P94GQH2KM7R
56;107;sed volcans nomen;23/08/2003 18:47;66PACU51
57;954;rarendum si;8/07/2009 21:31;1PLW1DTTV2T
58;149;fecundio, non Versus Pro;5/05/2007 8:36;IIQR43CRZJ83U2PX
59;570;habitatio travissimantor;18/05/2003 23:13;ZO7PONKJ
60;619;quad et quoque gravis;27/05/2006 23:39;P48QQ4YYONY
61;NULL;eggredior.;9/06/2009 4:59;7QTALHHH1ZOV
62;851;volcans quis non gravum;25/09/2009 16:02;VEMAUU68K
63;282;rarendum eggredior.;25/02/2005 4:56;8I8S45WD1ZHSX
64;959;NULL;14/07/2004 16:13;F2631JQGCXUQB
