std_id;std_st_id;std_it_id;std_qtity;std_remainingqtity
1;41;41;4279;1134
2;1438;1438;1127;1557
3;704;704;147;2185
4;9929;9929;4927;596
5;9514;9514;2086;2607
6;1204;1204;3184;1532
7;1702;1702;4855;1257
8;2372;2372;3226;440
9;73;73;2898;2110
10;9272;9272;2967;2887
11;9773;9773;2234;550
12;2415;2415;1143;27
13;9450;9450;468;2344
14;237;237;4636;1342
15;7318;7318;1682;109
16;9446;9446;83;1924
17;122;122;2479;2749
18;2311;2311;2035;81
19;9413;9413;1996;1279
20;1524;1524;2249;2511
21;2041;2041;4644;184
22;1041;1041;1407;1580
23;133;133;1162;1204
24;1768;1768;4214;576
25;9557;9557;1441;1158
26;1572;1572;4444;1596
27;605;605;1526;495
28;9932;9932;1445;2726
29;1984;1984;2404;2271
30;189;189;3779;1684
31;344;344;3754;359
32;307;307;4933;750
33;119;119;4015;615
34;331;331;658;470
35;9252;9252;1986;2239
36;9474;9474;2153;1422
37;2761;2761;1358;300
38;9401;9401;3415;1093
39;1397;1397;1001;1115
40;362;362;4126;1179
41;2393;2393;1280;71
42;9276;9276;2244;2180
43;384;384;1870;2839
44;1558;1558;861;856
45;1895;1895;822;2075
46;9320;9320;3701;1863
47;9701;9701;4988;1013
48;9283;9283;33;67
49;1172;1172;4501;2994
50;5593;5593;3575;2542
51;9746;9746;1853;1461
52;9926;9926;1390;2186
53;375;375;983;2771
54;1913;1913;2477;2098
55;8965;8965;1088;1254
56;395;395;2872;2555
57;9817;9817;4966;352
58;8;8;933;1609
59;2030;2030;3485;2438
60;9598;9598;2643;1011
61;NULL;NULL;1658;1037
62;411;411;3409;1531
63;198;198;822;1170
64;213;213;4119;426
65;372;372;4214;2527
66;9824;9824;2301;2801
67;819;819;2129;2413
68;1053;1053;4811;1873
69;1096;1096;2649;2103
70;9882;9882;4530;1687
71;983;983;3725;1624
72;9425;9425;4064;1655
73;195;195;1033;1967
74;1751;1751;2871;100
75;2711;2711;969;2440
76;9498;9498;2400;1005
77;9765;9765;4537;1742
78;5195;5195;301;348
79;733;733;3392;1501
80;9573;9573;2740;2296
81;9971;9971;4456;582
82;9881;9881;1492;427
83;488;488;1944;2733
84;9757;9757;3829;2730
85;914;914;1926;223
86;9772;9772;2364;1174
87;2136;2136;3950;980
88;241;241;1537;NULL
89;15;15;4570;1517
90;1607;1607;4114;2216
91;1494;1494;2187;2685
92;9637;9637;425;1069
93;170;170;4930;1692
94;1325;1325;3359;1656
95;258;258;2467;104
96;814;814;2871;141
97;9784;9784;1421;1540
98;3723;3723;2752;1010
99;9354;9354;1647;2413
100;409;409;3521;1329
101;1069;1069;1572;2275
102;9852;9852;177;2450
103;328;328;2384;2140
104;9660;9660;4972;964
105;9689;9689;4851;1306
106;2511;2511;2790;918
107;9912;9912;356;2806
108;645;645;3112;219
109;9724;9724;1508;2670
110;846;846;3689;2658
111;9936;9936;3335;248
112;981;981;4664;812
113;1519;1519;2541;4
114;9210;9210;745;107
115;71;71;3188;141
116;614;614;165;428
117;294;294;1465;609
118;1079;1079;1994;1799
119;491;491;2192;1440
120;1400;1400;1850;203
121;9599;9599;3352;1353
122;1464;1464;591;1821
123;NULL;NULL;240;895
124;9764;9764;3536;2658
125;215;215;2342;2419
126;751;751;NULL;618
127;9472;9472;3299;2932
128;9525;9525;4134;2999
129;332;332;2675;1862
130;1036;1036;403;2960
131;955;955;3098;900
132;1952;1952;978;2995
133;343;343;1785;2330
134;525;525;3654;2019
135;349;349;4871;2227
136;1537;1537;1167;2847
137;418;418;NULL;NULL
138;9754;9754;4278;1442
139;597;597;4108;2464
140;NULL;NULL;1972;1426
141;14;14;3978;1811
142;972;972;4136;417
143;1115;1115;2007;954
144;1499;1499;837;1310
145;9390;9390;28;1860
146;9676;9676;880;1967
